generated,actual
the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island is a small rocky island off the coast of the island,The island has rugged terrain and dense vegetation and the waters around the island is green .
the mountains are covered in snow and ice .,The snowberg has some valley glaciers but some ridges are not covered by glaciers .
a. a city b. a town c. a suburb d. a city and a town,the houses ranged tightly along the straight roads .
a. aerial view of a park b. aerial view of a football field,"the old, brown exercise yard is decorated by some trees ."
parking lot,opposite a parking lot with three cars there is a trapezoid parking lot between two roads full of automobiles.
marina aerial view,The harbor has lots of neatly docked boats and a lot of green plants and some buildings are on the shore .
satellite image of a desert landscape with sparse trees,Some green chaparrals of different sizes grow in the desert .
the fairway is lined with trees and the green is surrounded by trees and a path .,"The golf course has a putting green, Two fairways and some barrier trees and a road goes through the golf course ."
a. a large building with many windows b. a large building with many windows c. a large building with many windows,we can see a square harbour basin on the coast with boats moored side by side .
a. aerial view of a highway with a few cars on it .,A straight freeway goes through the residential area and some cars are driving on the freeway .
a. a park with a baseball field b. a park with a baseball field,Two baseball diamonds surrounded by some trees and the residential area around them .
a. a bridge over a river b. a bridge over a river,"A bridge built on a dark green river and the residential area on one side of the river, And some green plants on the other side of the river ."
a. the building is surrounded by buildings.,A commercial area has some buildings arranged neatly and some roads go through the commercial area .
aerial view of a house and a small building on a farm .,There are circular swimming pools beside this house .
the image shows a large area of land with trees and a house .,Two paths lead to a small black house .
the beach is made of sand and the water is blue .,the sea is calm and we can see there is a building offshore .
a. a city b. a neighborhood c. a city street,A dense residential area has some trees and lots of neatly arranged houses of different sizes while a road goes through the residential area .
the park is located in the city .,there is a square covering a large area surrounded by trees .
the blue roofs are the buildings of the factory .,The industrial area has lots of industrial equipment and some neatly arranged blue workshops .
the mountains are in the north,several rivers flow through the tall mountain .
the airport is located in the center of the image .,An airport with some runways and buildings on the lawn with some trees .
the airport is located in the desert .,An airport with some staggered runways and buildings in the vacant lot .
the house is on a large plot of land .,A house with orange roofs is surrounded by trees and cropland in the sparse residential area .
a. a road with a bridge over it. b. a road with a bridge over it.,The cross-line overpass is over the road in the forest and some houses are next to the overpass .
a. bridge over a river b. bridge over a river,A bridge built on a dark green river and the lawn on both sides of the river .
marina aerial view,The harbor has lots of neatly docked boats and the color of the waters is blue .
a. aerial view of a highway b. aerial view of a construction site,A straight freeway goes through the block with many buildings and on one side is a clearing .
This is a satellite image of a large industrial area.,here is a factory including a parking lot and a sports field .
This is a stadium with a running track and a football field .,there are sports fields near a waste ground .
beach,This is a beach with blue-green sea and white sands .
a. a river b. a river,Several rectangular farmlands are on the ground and a residential area is next to the farmlands .
what is the shape of the land in this image ?,A dark green circular farmland and several khaki circular farmland are surrounded by some rectangular farmlands .
the stadium is in the center of the image .,The ground track field is on a lawn and is surrounded by lots of trees and houses arranged neatly .
the building is a large white building with a circular tower in the middle of the roof .,there is a black and white church located in the corner of a cross together with other buildings .
a. a highway interchange b. a highway interchange,the viaducts crisscross over the river .
a. it is a large oil refinery plant .,many different storage tanks were built on the land .
This is a satellite image of a large industrial facility .,there is a factory with workshops and some columnar tanks .
a. a road with a large house on it b. a road with a small house on it c. a road with a large house on it d. a road with a small house on it,An intersection without cars located in a residential area .
"The station is located in the center of the image , surrounded by residential buildings .",there are rings of rectangular buildings with red roofs near the spindle shaped rails .
baseball field,A baseball diamond surrounded by some trees and some houses beside .
the roundabout is a circle with a white circle in the middle,The roundabout connects six roads and some cars are driving on the roundabout .
parking lot,The parking lot has some neatly arranged cars of different colors .
a. a roundabout with a single carriageway and a single lane in each direction.,The roundabout connects four roads and a parking lot is next to the roundabout .
a. a forest b. a forest with a lot of trees,The forest has a lot of dense green trees of different color depths .
this is a view of a neighborhood with a few homes and a small park .,the black and red cottages distributes along the road .
the park is located in the middle of a residential area .,Two baseball diamonds on the lawn with some trees and some houses beside .
a. the mountain range is a series of parallel ridges that run from west to east .,The folded mountain consists of some ridges and valleys .
a. a highway with a median and a shoulder. b. a highway with a median and a shoulder.,A straight freeway is a forest on one side and on the other side is a lawn with some trees .
a. a street with a basketball court b. a street with a basketball court,A basketball court next to some parking lots and the medium residential area on the other side of the road .
a. a group of houses b. a group of houses in a neighborhood c. a group of houses in a neighborhood,A dense residential area with lots of houses next to each other is surrounded by some roads .
the image shows a desert landscape with a few small lakes .,The mountain has a rugged surface and its rocks are yellow .
the house is on the left .,The church with a cross-shaped roof is surrounded by some trees .
a. the building is in the middle of a parking lot b. the building is in the middle of a park,The church with a tower and the rest of the church has a gray-green cross-shaped roof .
a. aerial view of a road intersection with a pedestrian crossing and a car park on the left side of the road,An intersection with sparse traffic is between some parking lots and neatly arranged houses .
a. the intersection of a city street and a park,there is a road between two pieces of huge buildings .
the stadium is located in the city of,This oval stadium has dense residential areas on three sides .
the square is in the center of the image .,The roundabout with some exits and entrances is surrounded by some buildings and some cars are driving on the roundabout .
the bridge is a cantilever bridge .,a wide road was built over the river .
the sand dunes,"The desert has yellow sand, Some barchan dunes and pyramidal dunes ."
What is the name of the airport ?,a large number of aircraft were parked at the back of the airport .
a. a large body of water b. a large body of water c. a large body of water d. a large body of water,there are four polygonal pond close to each other .
a. a highway interchange b. a highway interchange,The cross-line overpass is over the roads on the wasteland .
a. green grass b. brown grass c. brown grass with some green d. brown grass with some green e. brown grass with some green with some brown,here we can see a meadow with some pieces of bare ground .
a. aerial view of a train station b. aerial view of a train station,These railways are between some buildings and a parking lot and a lawn is next to the railways .
railway lines in the foreground and houses in the background,These railways are between some houses and a green area .
a. a forest b. a road c. a river,This meadow has different sparsity in different places and some trees are also on the meadow .
the image shows a large area of land that has been cleared for farming .,There was a little weed around the terraces .
the mystery of the crop circles,The runway in the clearing connects an open area .
a. a roundabout with a small number of vehicles passing through it. b. a roundabout with a large number of vehicles passing through it.,The roundabout with three exits and entrances is between some buildings and the clearing .
a. a field of crops b. a field of crops,Several rectangular farmlands of different sizes are arranged in neat rows .
intersection,An intersection with sparse traffic located in a residential area with some green areas .
lot in the city,The runway goes through the lawn and a forest is next to the runway .
a. a large storage tank b. a large storage tank,There are five storage tanks on the side of the white house .
image,There are blocks of residential areas between the jungles .
baseball stadium,A baseball diamond on the lawn while a grandstand and some buildings beside .
island,The island without vegetation is surrounded by light blue waters .
the island is located in the middle of the river .,The deep blue river has a channel bar .
a. aerial view of a highway with a tennis court next to it.,A row of trees is planted around the tennis court .
a. a dense forest of trees b. a dense forest of trees,The forest has a lot of evenly distributed dark green trees .
a. a large building with many windows and doors. b. a large building with many windows and doors.,The industrial area has some strip workshops of different colors .
the intersection of 10th and 11th streets,A tilted intersection with normal traffic is between some buildings .
stadium,there is a gymnasium in the middle of the field .
the interchange is located at the intersection of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes of the southbound lanes,The intricated overpasses is over the roads in the residential area .
trees,Some connected chaparrals of different sizes grow in the desert .
a. a group of circles b. a group of circles,Several green circular farmlands with different radii are neatly arranged on the wasteland .
what is the runway direction,The runway with some arrow markings connects some other roads .
tennis courts and a playground,Two rows of cars were parked beside the tennis court .
a. the city is a square shape with a lot of buildings and roads.,the latticed commercial is separated by several crosses .
the airport is located in the middle of the desert .,Three planes parked in a line on the airport and another plane in front of them .
a. a square with a fountain in the middle surrounded by a few trees and a few cars and houses .,the square in the forest contains several lawns for picnic .
the image shows a large area of land with a variety of crops and trees .,There is a winding path between the terraces .
the image is a satellite image of a rural area with a few houses and fields .,Some green rectangular farmlands of different sizes are neatly arranged on the ground and some houses are surrounded by these farmlands .
the building is on the left side of the image .,the school here is sandwiched between a forest and a residential area .
the site is now a car park .,The railway station has some railways and a big building .
the house is on the left side of the road,some flats on the lawn is near some trees .
a roundabout and a motorway,The cross-line overpass is over the roads in the forest .
baseball field,Two adjacent baseball diamonds make up a semicircle and the open area beside .
the stadium is the largest in the world,The stadium's roof has wavy white signs .
a. a residential area with a few trees and a few houses .,The mobile home park has some mobile homes and lots of trees are among these mobile homes .
sand,"The desert has yellow sand, Some trellis dunes and sparse plants ."
the site of the former plant .,The industrial area with lots of industrial equipment and some workshops next to each other is surrounded by some green areas .
the image shows a large body of water surrounded by dense vegetation .,"There are two winding paths in this wetland  , and the water is dark green ."
hotel,the swimming pool is close to a l shaped building with a gray roof and a zigzag building with a white roof on the beach .
stadium,This stadium has a row of silver signs on each side .
the house is in the middle of a dry desert area with a small parking lot and a small oval shaped pool in the front yard .,A house is surrounded by sands and bushes in the sparse residential area .
the desert is a large flat area of sand dunes and sand,The desert has yellow sand and some decayed rocks .
a. aerial view of a city b. aerial view of a city,beside the road there is a factory.
image of the airport,An airport with some parallel runways and an open area on the farmland with different plants and some villages beside .
the aerial view of the campus,a large number of tall trees were planted around the red houses .
a. a river b. a river delta c. a river delta,There are several scattered trees in the middle of this wetland .
parking lot,The parking lot has lots of neatly arranged cars of different colors .
the island is a small rocky outcrop off the coast of the island,The stone island is surrounded by blue waters .
the stadium is located in the city of,The roof of this stadium is pure white .
a. a field of crops b. a field of crops,Three khaki circular farmlands are surrounded by some other shapes of farmlands .
a. a large building with a large green lawn in the middle of a city b. a large building with a large green lawn in the middle of a city c. a large building with a large green lawn in the middle of a city,The ground track field is on a lawn and some buildings are next to the ground track field .
the golf course is on the left of the image .,"The golf course has some fairways, Barrier trees and sandpits and some houses are also in the golf course ."
close up of a grey striped fabric,There is a piece of farmland .
Disneyland,there is a park at the corner of an intersection .
baseball field,Three baseball diamonds next to some roads and some buildings beside .
a. a city b. a town c. a village d. a city in the desert,"The golf course has some lakes, Fairways, Barrier trees and sandpits and lots of houses arranged neatly are also in the golf course ."
the church is in the center of the image .,we can see rows of cars parked along the street around red roof buildings among which is a church .
a. a river system b. a river system,Half of this wetland is bare rock and the other half is covered by vegetation .
a. sand dunes b. sand dunes c. sand dunes,The desert has yellow sand and many small dunes and the desert terrain is flat .
aerial view of a neighborhood with mobile homes,The mobile home park has some mobile homes along the road and a grove of trees is next to the mobile home park .
Airport map,The runway goes through the lawn and some buildings of different sizes are next to the runway .
a. a group of buildings with a common roof b. a group of buildings with a common roof c. a group of buildings with a common roof,This is a dense residential area with houses and roads .
a. airplane b. parking lot c. parking lot,A plane parked on the airport and the lawn in front of it .
the castle is a large rectangular building with a moat around it .,The gray palace with some courtyards is next to a grove of trees .
a. a field of crops b. a field of crops,Lots of green rectangular farmlands are arranged in neat rows .
a. the same area as the previous image but zoomed in .,beside the beach there is a factory with parking lots in it .
a. green grass b. green grass with some trees c. green grass with some trees and some rocks d. green grass with some rocks and some trees,This meadow has dense grasses and a tree .
harbour,The harbor has lots of neatly docked boats and a dense residential area is next to the harbor .
a. a highway with a median and shoulder .,A straight freeway goes through the lawn with some trees .
the three lakes are located in the north of the city .,Some lakes of different sizes and colors lie in farmland .
terrace farming,There is a path between the terraces leading to a building .
marble,The desert has yellow sand and many fixed dunes .
the fort is a large stone building surrounded by a high wall .,The dark gray palace has some palaces of different sizes and a river is next to the palace .
a beach,The beach with khaki sand and some items on the beach .
the desert,a irregular shaped pattern with jagged edges can be see on the desert .
a. the road is in the desert b. the road is in the desert c. the road is in the desert d. the road is in the desert,A bifurcated freeway goes through the wasteland with some trees and some cars are driving on the freeway .
This is a city park with tennis courts and a small park in the middle of a residential neighborhood .,There is a tennis court on the upper right .
a. a road with a bridge over it b. a road with a bridge over it,A straight freeway goes through the block and some trees are on both sides of the freeway .
a. desert b. desert with mountains c. desert with mountains and hills d. desert with mountains and hills and a river,The desert has yellow sand and some mountains or hills .
a. a large parking lot b. a large parking lot,The parking lot has some cars arranged neatly in lines .
the airport is located in the north of the city .,the airport built in the field has some buildings runways and a tarmac.
a. a lake b. a river c. a river delta,The dark blue lake lies on a flat ground covered with vegetation and a village is next to the lake .
a. a large group of boats moored in a harbor b. a large group of boats moored in a harbor,The harbor has lots of neatly docked boats and the color of the waters is green .
baseball field,A baseball diamond next to the playground and the residential area beside .
a. aerial view of a highway b. aerial view of a baseball field,Two baseball diamonds next to some freeways and the residential area on the other side of freeways .
the school is located in the centre of the image,The ground track field is on a lawn is surrounded by lots of buildings .
the bridge is a cantilever bridge .,"A bridge built on a dark green river while a harbor and some buildings on one side of the river, And a orange building on the other side of the river ."
island,The island with rugged terrain is surrounded by blue waters .
a. green grass b. green grass with a few brown spots c. green grass with a few brown spots d. green grass with a few brown spots and a few green spots,This meadow has different sparsity in different places .
-----0-----,-----0-----
